content_hash_id,refresh_score,gsc_clicks,gsc_impressions,gsc_avg_position,days_since_update,priority
content_f3ace84e31dd41be,1.0,0,2,2.5,97,High
content_e25850eb163f7578,1.0,0,179,10.541899441340782,-13,High
content_c4dbfe66e7f60443,1.0,0,0,,97,High
content_c31408ca92cd4641,1.0,0,103,15.339805825242719,-13,High
content_98a1b6029da31bdf,1.0,0,11,32.18181818181818,97,High
content_4a3c39846f032b3a,1.0,0,1,2.0,97,High
content_5303fb674f46dc2c,1.0,0,9,43.333333333333336,97,High
content_f8f95de1c3028b86,1.0,0,9,21.11111111111111,97,High
content_eb725d7bfbb1c8c6,1.0,0,9,4.444444444444445,97,High
content_e7a459c13fa33dcb,1.0,0,15,15.0,97,High
content_0d96e9f1a84d4209,1.0,0,0,,97,High
content_36f5d5eaad06e37f,1.0,1,78,38.98717948717949,97,High
content_fc58082f82bd7f19,1.0,0,57,30.70175438596491,97,High
content_5e57c91466510891,1.0,0,320,22.396875,-13,High
content_dcb228291b3a56eb,1.0,0,13,31.923076923076923,97,High
content_9d7aa4859148cbd7,1.0,0,39,29.564102564102566,97,High
content_2a45f44c27b2a1bd,1.0,0,84,16.464285714285715,97,High
content_70ce125d6ec14e05,1.0,0,15,0.06666666666666667,97,High
content_1bd37dc5e755098e,1.0,0,3,50.666666666666664,97,High
content_1ea5eb103e5b6bce,1.0,0,3,51.0,97,High
content_f932045988f789a2,1.0,0,62,21.693548387096776,97,High
content_d5c3e70294bfbc4b,1.0,0,3,40.666666666666664,97,High
content_361f144347d6fb69,1.0,0,83,60.54216867469879,97,High
content_4d182db0e4f9a7a7,1.0,0,1,7.0,97,High
content_5b9e0d830e5509f5,1.0,0,8,22.625,97,High
content_b5001c593864a75c,1.0,0,0,,97,High
content_6199eed4ecd77ecd,1.0,0,102,13.705882352941176,-13,High
content_a74bfc57969861e6,1.0,0,5,29.8,97,High
content_2498ebbf6a611c8c,1.0,0,0,,97,High
content_a7fc5ccb3d0abe7a,1.0,0,2,46.0,97,High
content_ed36708ee9987e49,1.0,0,152,34.26973684210526,97,High
content_4310a90c38bdd4f1,1.0,0,194,16.824742268041238,-13,High
content_7dca9de32d406069,1.0,0,41,26.829268292682926,97,High
content_8686d1bd511fe44b,1.0,0,0,,97,High
content_b14aece009cfe562,1.0,0,327,28.623853211009173,-13,High
content_4c52528007a5ee61,1.0,0,5,76.0,97,High
content_b1ae4c3412b643e7,1.0,0,95,25.378947368421052,-13,High
